mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,coordinates,Longitude,Latitude,Depth,id,time_format_full,time_format_hms,time_format_ymd,year,month,day,hours,minutes,seconds
3.6,Greece,968970029000,1415322665231,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a092,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a092&format=geojson,,,,,reviewed,0,199,us,p000a092,",usp000a092,",",us,",",origin,phase-data,",5.0,,,,md,earthquake,"M 3.6 - 10 km WNW of Pánormos, Greece","[26.83, 37.02, 27]",26.83, 37.02, 27,usp000a092,2000-09-15 01:20:29,01:20:29,2000-09-15,2000,09,15,01,20,29
4.5,Turkey,969079302870,1415322665355,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0as,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0as&format=geojson,,,,,reviewed,0,312,us,p000a0as,",usp000a0as,",",us,",",origin,phase-data,",51.0,,1.13,,mb,earthquake,"M 4.5 - 16 km W of Datça, Turkey","[27.505, 36.722, 33]",27.505, 36.722, 33,usp000a0as,2000-09-16 07:41:42.870000,07:41:42,2000-09-16,2000,09,16,07,41,42.870000
3.2,Turkey,969096873900,1415322665367,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0ax,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0ax&format=geojson,,,,,reviewed,0,158,us,p000a0ax,",usp000a0ax,",",us,",",origin,phase-data,",12.0,,,,md,earthquake,"M 3.2 - 18 km E of Gediz, Turkey","[29.606, 39.02, 9]",29.606, 39.02, 9,usp000a0ax,2000-09-16 12:34:33.900000,12:34:33,2000-09-16,2000,09,16,12,34,33.900000
3.2,Turkey,969178940000,1415322665612,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0c7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0c7&format=geojson,,,,,reviewed,0,158,us,p000a0c7,",usp000a0c7,",",us,",",origin,phase-data,",10.0,,,,md,earthquake,"M 3.2 - 7 km E of Hendek, Turkey","[30.833, 40.798, 12]",30.833, 40.798, 12,usp000a0c7,2000-09-17 11:22:20,11:22:20,2000-09-17,2000,09,17,11,22,20
3.0,Turkey,969246013100,1415322665860,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0eu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0eu&format=geojson,,,,,reviewed,0,138,us,p000a0eu,",usp000a0eu,",",us,",",origin,phase-data,",5.0,,,,md,earthquake,"M 3.0 - 2 km WNW of Söke, Turkey","[27.381, 37.758, 5]",27.381, 37.758, 5,usp000a0eu,2000-09-18 06:00:13.100000,06:00:13,2000-09-18,2000,09,18,06,00,13.100000
3.6,Turkey,969319094500,1415322665954,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0g3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0g3&format=geojson,,,,,reviewed,0,199,us,p000a0g3,",usp000a0g3,",",us,",",origin,phase-data,",14.0,,,,ml,earthquake,"M 3.6 - 84 km SE of Tekirova, Turkey","[31.159, 35.943, 10]",31.159, 35.943, 10,usp000a0g3,2000-09-19 02:18:14.500000,02:18:14,2000-09-19,2000,09,19,02,18,14.500000
3.5,Turkey,969335930860,1415322665971,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0gc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0gc&format=geojson,,,,,reviewed,0,188,us,p000a0gc,",usp000a0gc,",",us,",",origin,phase-data,",21.0,,0.65,,md,earthquake,"M 3.5 - 8 km NNW of Karapürçek, Turkey","[30.486, 40.707, 10]",30.486, 40.707, 10,usp000a0gc,2000-09-19 06:58:50.860000,06:58:50,2000-09-19,2000,09,19,06,58,50.860000
3.1,Turkey,969345218500,1415322665979,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0gg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0gg&format=geojson,,,,,reviewed,0,148,us,p000a0gg,",usp000a0gg,",",us,",",origin,phase-data,",10.0,,,,md,earthquake,"M 3.1 - 4 km W of Akyaz?, Turkey","[30.57, 40.68, 10]",30.57, 40.68, 10,usp000a0gg,2000-09-19 09:33:38.500000,09:33:38,2000-09-19,2000,09,19,09,33,38.500000
3.0,Turkey,969345733800,1415322665986,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0gj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0gj&format=geojson,,,,,reviewed,0,138,us,p000a0gj,",usp000a0gj,",",us,",",origin,phase-data,",5.0,,,,md,earthquake,"M 3.0 - 3 km W of Bolu, Turkey","[31.562, 40.731, 10]",31.562, 40.731, 10,usp000a0gj,2000-09-19 09:42:13.800000,09:42:13,2000-09-19,2000,09,19,09,42,13.800000
3.6,Turkey,969355365820,1415322665998,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0gr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0gr&format=geojson,,,,,reviewed,0,199,us,p000a0gr,",usp000a0gr,",",us,",",impact-text,origin,phase-data,",30.0,,0.88,,mb,earthquake,"M 3.6 - 10 km NNW of Yalova, Turkey","[29.224, 40.739, 10]",29.224, 40.739, 10,usp000a0gr,2000-09-19 12:22:45.820000,12:22:45,2000-09-19,2000,09,19,12,22,45.820000
3.5,Turkey,969364122200,1415322666144,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0h2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0h2&format=geojson,,,,,reviewed,0,188,us,p000a0h2,",usp000a0h2,",",us,",",origin,phase-data,",8.0,,,,md,earthquake,"M 3.5 - 11 km WSW of Orta, Turkey","[32.993, 40.575, 5]",32.993, 40.575, 5,usp000a0h2,2000-09-19 14:48:42.200000,14:48:42,2000-09-19,2000,09,19,14,48,42.200000
3.0,Turkey,969406136600,1415322666276,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0hz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0hz&format=geojson,,,,,reviewed,0,138,us,p000a0hz,",usp000a0hz,",",us,",",origin,phase-data,",7.0,,,,md,earthquake,"M 3.0 - 16 km NNW of Bolu, Turkey","[31.506, 40.862, 7]",31.506, 40.862, 7,usp000a0hz,2000-09-20 02:28:56.600000,02:28:56,2000-09-20,2000,09,20,02,28,56.600000
3.2,Turkey,969498683800,1415322666447,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0kg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0kg&format=geojson,,,,,reviewed,0,158,us,p000a0kg,",usp000a0kg,",",us,",",origin,phase-data,",9.0,,,,md,earthquake,"M 3.2 - 2 km ESE of Pamukkale, Turkey","[29.14, 37.905, 5]",29.14, 37.905, 5,usp000a0kg,2000-09-21 04:11:23.800000,04:11:23,2000-09-21,2000,09,21,04,11,23.800000
3.0,Turkey,969500006700,1415322666448,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0kh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0kh&format=geojson,,,,,reviewed,0,138,us,p000a0kh,",usp000a0kh,",",us,",",origin,phase-data,",4.0,,,,md,earthquake,"M 3.0 - 10 km SE of Pamukkale, Turkey","[29.208, 37.861, 10]",29.208, 37.861, 10,usp000a0kh,2000-09-21 04:33:26.700000,04:33:26,2000-09-21,2000,09,21,04,33,26.700000
3.7,Turkey,969500271500,1415322666449,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0kj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0kj&format=geojson,,,,,reviewed,0,211,us,p000a0kj,",usp000a0kj,",",us,",",origin,phase-data,",4.0,,,,md,earthquake,"M 3.7 - 10 km SSE of Nurda??, Turkey","[36.795, 37.084, 10]",36.795, 37.084, 10,usp000a0kj,2000-09-21 04:37:51.500000,04:37:51,2000-09-21,2000,09,21,04,37,51.500000
3.9,Turkey,969506811460,1415322666459,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0kr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0kr&format=geojson,,,,,reviewed,0,234,us,p000a0kr,",usp000a0kr,",",us,",",origin,phase-data,",15.0,,0.96,,ml,earthquake,"M 3.9 - 12 km S of Karaman, Turkey","[33.213, 37.064, 33]",33.213, 37.064, 33,usp000a0kr,2000-09-21 06:26:51.460000,06:26:51,2000-09-21,2000,09,21,06,26,51.460000
3.8,Turkey,969545423700,1415322666622,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0md,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0md&format=geojson,,,,,reviewed,0,222,us,p000a0md,",usp000a0md,",",us,",",origin,phase-data,",21.0,,,,mb,earthquake,"M 3.8 - 18 km WNW of S?nd?rg?, Turkey","[27.968, 39.28, 9.5]",27.968, 39.28, 9.5,usp000a0md,2000-09-21 17:10:23.700000,17:10:23,2000-09-21,2000,09,21,17,10,23.700000
3.7,Turkey,969566465500,1415322666676,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0mv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0mv&format=geojson,,,,,reviewed,0,211,us,p000a0mv,",usp000a0mv,",",us,",",impact-text,origin,phase-data,",24.0,,,,mb,earthquake,"M 3.7 - 19 km ESE of Sava?tepe, Turkey","[27.872, 39.329, 9.2]",27.872, 39.329, 9.2,usp000a0mv,2000-09-21 23:01:05.500000,23:01:05,2000-09-21,2000,09,21,23,01,05.500000
3.0,Turkey,969570522600,1415322666678,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0mw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0mw&format=geojson,,,,,reviewed,0,138,us,p000a0mw,",usp000a0mw,",",us,",",origin,phase-data,",4.0,,,,md,earthquake,"M 3.0 - 10 km SW of Kalkan, Turkey","[29.326, 36.202, 5]",29.326, 36.202, 5,usp000a0mw,2000-09-22 00:08:42.600000,00:08:42,2000-09-22,2000,09,22,00,08,42.600000
3.6,Turkey,969619314890,1415322666753,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0nj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0nj&format=geojson,,,,,reviewed,0,199,us,p000a0nj,",usp000a0nj,",",us,",",origin,phase-data,",6.0,,,,ml,earthquake,"M 3.6 - 13 km N of Karaman, Turkey","[33.219, 37.306, 25]",33.219, 37.306, 25,usp000a0nj,2000-09-22 13:41:54.890000,13:41:54,2000-09-22,2000,09,22,13,41,54.890000
3.2,Turkey,969651059150,1415322666855,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0p6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0p6&format=geojson,,,,,reviewed,0,158,us,p000a0p6,",usp000a0p6,",",us,",",impact-text,origin,phase-data,",6.0,,,,md,earthquake,"M 3.2 - 18 km SSE of Kocaali, Turkey","[30.968, 40.914, 9.8]",30.968, 40.914, 9.8,usp000a0p6,2000-09-22 22:30:59.150000,22:30:59,2000-09-22,2000,09,22,22,30,59.150000
3.6,Turkey,969719058870,1415322666961,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0pz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0pz&format=geojson,,,,,reviewed,0,199,us,p000a0pz,",usp000a0pz,",",us,",",origin,phase-data,",10.0,,0.92,,mb,earthquake,"M 3.6 - 11 km WSW of Alpu, Turkey","[30.837, 39.725, 33]",30.837, 39.725, 33,usp000a0pz,2000-09-23 17:24:18.870000,17:24:18,2000-09-23,2000,09,23,17,24,18.870000
4.4,eastern Turkey,969779536670,1415322667060,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0r4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0r4&format=geojson,,,,,reviewed,0,298,us,p000a0r4,",usp000a0r4,",",us,",",impact-text,origin,phase-data,",32.0,,1.33,,mb,earthquake,M 4.4 - eastern Turkey,"[43.721, 39.545, 40.5]",43.721, 39.545, 40.5,usp000a0r4,2000-09-24 10:12:16.670000,10:12:16,2000-09-24,2000,09,24,10,12,16.670000
4.0,Turkey,970057178580,1415322667901,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a0wn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a0wn&format=geojson,,,,,reviewed,0,246,us,p000a0wn,",usp000a0wn,",",us,",",impact-text,origin,phase-data,",20.0,,0.64,,mb,earthquake,"M 4.0 - 7 km W of Orta, Turkey","[33.021, 40.616, 14.5]",33.021, 40.616, 14.5,usp000a0wn,2000-09-27 15:19:38.580000,15:19:38,2000-09-27,2000,09,27,15,19,38.580000
3.0,Turkey,970292245600,1415322668372,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a11f,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a11f&format=geojson,,,,,reviewed,0,138,us,p000a11f,",usp000a11f,",",us,",",origin,phase-data,",4.0,,,,md,earthquake,"M 3.0 - 17 km WNW of Antalya, Turkey","[30.515, 36.968, 13]",30.515, 36.968, 13,usp000a11f,2000-09-30 08:37:25.600000,08:37:25,2000-09-30,2000,09,30,08,37,25.600000
3.4,Greece,970570884300,1415322672943,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a16u,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a16u&format=geojson,,,,,reviewed,0,178,us,p000a16u,",usp000a16u,",",us,",",origin,phase-data,",6.0,,,,ml,earthquake,"M 3.4 - 26 km NW of Oinoússes, Greece","[26.01, 38.69, 19]",26.01, 38.69, 19,usp000a16u,2000-10-03 14:01:24.300000,14:01:24,2000-10-03,2000,10,03,14,01,24.300000
4.6,Turkey,970626837010,1600206111984,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a17n,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a17n&format=geojson,,,5.9,,reviewed,0,326,us,p000a17n,",usp000a17n,atlas20001004023357,",",us,atlas,",",impact-text,origin,phase-data,shakemap,",172.0,,,,mb,earthquake,"M 4.6 - 5 km SSW of Akköy, Turkey","[29.046, 37.918, 8.3]",29.046, 37.918, 8.3,usp000a17n,2000-10-04 05:33:57.010000,05:33:57,2000-10-04,2000,10,04,05,33,57.010000
4.3,Turkey,970646332700,1415322673303,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a180,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a180&format=geojson,,,,,reviewed,0,284,us,p000a180,",usp000a180,",",us,",",origin,phase-data,",7.0,,,,mb,earthquake,"M 4.3 - 3 km NNW of Sarayköy, Turkey","[28.91, 37.95, 5]",28.91, 37.95, 5,usp000a180,2000-10-04 10:58:52.700000,10:58:52,2000-10-04,2000,10,04,10,58,52.700000
3.9,Turkey,970667510100,1415322673414,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a18m,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a18m&format=geojson,,,,,reviewed,0,234,us,p000a18m,",usp000a18m,",",us,",",origin,phase-data,",4.0,,,,md,earthquake,"M 3.9 - 8 km WSW of Güvercinlik, Turkey","[27.5, 37.1, 5]",27.5, 37.1, 5,usp000a18m,2000-10-04 16:51:50.100000,16:51:50,2000-10-04,2000,10,04,16,51,50.100000
4.1,Turkey,970734886240,1415322673919,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a19q,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a19q&format=geojson,,,,,reviewed,0,259,us,p000a19q,",usp000a19q,",",us,",",origin,phase-data,",27.0,,1.25,,mb,earthquake,"M 4.1 - 3 km SE of Orta, Turkey","[33.14, 40.598, 10]",33.14, 40.598, 10,usp000a19q,2000-10-05 11:34:46.240000,11:34:46,2000-10-05,2000,10,05,11,34,46.240000
4.1,Turkey,970735088910,1415322673925,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a19r,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a19r&format=geojson,,,,,reviewed,0,259,us,p000a19r,",usp000a19r,",",us,",",origin,phase-data,",14.0,,0.63,,mb,earthquake,"M 4.1 - 10 km SSW of Orta, Turkey","[33.052, 40.543, 10]",33.052, 40.543, 10,usp000a19r,2000-10-05 11:38:08.910000,11:38:08,2000-10-05,2000,10,05,11,38,08.910000
3.6,Turkey,970826343630,1415322674356,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a1bf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a1bf&format=geojson,,,,,reviewed,0,199,us,p000a1bf,",usp000a1bf,",",us,",",origin,phase-data,",14.0,,1.14,,mb,earthquake,"M 3.6 - 4 km NNE of Akköy, Turkey","[29.096, 37.994, 33]",29.096, 37.994, 33,usp000a1bf,2000-10-06 12:59:03.630000,12:59:03,2000-10-06,2000,10,06,12,59,03.630000
3.1,Turkey,971144427350,1415322675750,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a1hx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a1hx&format=geojson,,,,,reviewed,0,148,us,p000a1hx,",usp000a1hx,",",us,",",origin,phase-data,",6.0,,,,ml,earthquake,"M 3.1 - 52 km SSW of Türkler, Turkey","[31.576, 36.172, 25]",31.576, 36.172, 25,usp000a1hx,2000-10-10 05:20:27.350000,05:20:27,2000-10-10,2000,10,10,05,20,27.350000
3.4,Turkey,971228068030,1415322675890,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a1kg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a1kg&format=geojson,,,,,reviewed,0,178,us,p000a1kg,",usp000a1kg,",",us,",",origin,phase-data,",6.0,,,,md,earthquake,"M 3.4 - 16 km ENE of Alaçat?, Turkey","[26.561, 38.315, 17.5]",26.561, 38.315, 17.5,usp000a1kg,2000-10-11 04:34:28.030000,04:34:28,2000-10-11,2000,10,11,04,34,28.030000
3.1,Turkey,971234796980,1415322675898,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a1kp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a1kp&format=geojson,,,,,reviewed,0,148,us,p000a1kp,",usp000a1kp,",",us,",",origin,phase-data,",8.0,,,,md,earthquake,"M 3.1 - 7 km SW of Akköy, Turkey","[29.025, 37.905, 5.3]",29.025, 37.905, 5.3,usp000a1kp,2000-10-11 06:26:36.980000,06:26:36,2000-10-11,2000,10,11,06,26,36.980000
3.7,Greece,971291440100,1415322676026,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a1mm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a1mm&format=geojson,,,,,reviewed,0,211,us,p000a1mm,",usp000a1mm,",",us,",",origin,phase-data,",6.0,,,,md,earthquake,"M 3.7 - 42 km WSW of Émponas, Greece","[27.42, 36.08, 5]",27.42, 36.08, 5,usp000a1mm,2000-10-11 22:10:40.100000,22:10:40,2000-10-11,2000,10,11,22,10,40.100000
3.1,Turkey,971314747800,1415322676073,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a1n5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a1n5&format=geojson,,,,,reviewed,0,148,us,p000a1n5,",usp000a1n5,",",us,",",origin,phase-data,",8.0,,,,md,earthquake,"M 3.1 - 19 km E of Gediz, Turkey","[29.611, 39.008, 5.4]",29.611, 39.008, 5.4,usp000a1n5,2000-10-12 04:39:07.800000,04:39:07,2000-10-12,2000,10,12,04,39,07.800000
3.5,Greece,971565776400,1415322676567,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a1sf,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a1sf&format=geojson,,,,,reviewed,0,188,us,p000a1sf,",usp000a1sf,",",us,",",origin,phase-data,",7.0,,,,md,earthquake,"M 3.5 - 7 km SSE of Oinoússes, Greece","[26.25, 38.45, 37]",26.25, 38.45, 37,usp000a1sf,2000-10-15 02:22:56.400000,02:22:56,2000-10-15,2000,10,15,02,22,56.400000
3.1,Turkey,971669422100,1415322676770,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a1vr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a1vr&format=geojson,,,,,reviewed,0,148,us,p000a1vr,",usp000a1vr,",",us,",",origin,phase-data,",9.0,,,,md,earthquake,"M 3.1 - 27 km WSW of Gölhisar, Turkey","[29.202, 37.097, 11]",29.202, 37.097, 11,usp000a1vr,2000-10-16 07:10:22.100000,07:10:22,2000-10-16,2000,10,16,07,10,22.100000
3.7,Turkey,971700364800,1415322676818,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a1wd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a1wd&format=geojson,,,,,reviewed,0,211,us,p000a1wd,",usp000a1wd,",",us,",",origin,phase-data,",20.0,,,,md,earthquake,"M 3.7 - 6 km WSW of Geyikli, Turkey","[26.13, 39.79, 15]",26.13, 39.79, 15,usp000a1wd,2000-10-16 15:46:04.800000,15:46:04,2000-10-16,2000,10,16,15,46,04.800000
3.8,Greece,971819638200,1415322677081,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a1zm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a1zm&format=geojson,,,,,reviewed,0,222,us,p000a1zm,",usp000a1zm,",",us,",",origin,phase-data,",5.0,,,,md,earthquake,"M 3.8 - 17 km SSE of Mandráki, Greece","[27.24, 36.48, 33]",27.24, 36.48, 33,usp000a1zm,2000-10-18 00:53:58.200000,00:53:58,2000-10-18,2000,10,18,00,53,58.200000
3.4,Turkey,971871006120,1415322677266,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a219,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a219&format=geojson,,,,,reviewed,0,178,us,p000a219,",usp000a219,",",us,",",origin,phase-data,",11.0,,0.49,,md,earthquake,"M 3.4 - 7 km SSE of Bozcaada, Turkey","[26.118, 39.776, 10]",26.118, 39.776, 10,usp000a219,2000-10-18 15:10:06.120000,15:10:06,2000-10-18,2000,10,18,15,10,06.120000
